FID,省份,贫困县名,X,Y,地址类型,脱贫时间
390,内蒙古,察哈尔右翼后旗,113.1847916,41.43381896,区县,2019年4月19日正式退出
391,内蒙古,察哈尔右翼前旗,113.2079252,40.78414165,区县,2020年3月4日正式退出
392,内蒙古,察哈尔右翼中旗,112.629288,41.27583701,区县,2020年3月4日正式退出
393,内蒙古,鄂伦春自治旗,123.7185349,50.59015818,区县,2020年3月4日正式退出
394,内蒙古,化德县,114.0031002,41.90123855,区县,2020年3月4日正式退出
395,内蒙古,喀喇沁旗,118.6977019,41.92399285,区县,2019年4月19日正式退出
396,内蒙古,科尔沁右翼前旗,121.9521606,46.07505177,区县,2020年3月4日正式退出
397,内蒙古,科尔沁右翼中旗,121.470901,45.0585852,区县,2019年4月19日正式退出
398,内蒙古,科尔沁左翼后旗,122.3513599,42.93133328,区县,2019年4月19日正式退出
399,内蒙古,科尔沁左翼中旗,123.305723,44.12440521,区县,2020年3月4日正式退出
400,内蒙古,库伦旗,121.8054996,42.73271991,区县,2020年3月4日正式退出
401,内蒙古,林西县,118.0489976,43.6156904,区县,2018年8月17日正式退出
402,内蒙古,莫力达瓦达斡尔族自治旗,124.5120793,48.47568569,区县,2020年3月4日正式退出
403,内蒙古,奈曼旗,120.6525625,42.86406637,区县,2020年3月4日正式退出
404,内蒙古,宁城县,119.3374956,41.59234227,区县,2019年4月19日正式退出
405,内蒙古,商都县,113.571115,41.56009173,区县,2020年3月4日正式退出
406,内蒙古,四子王旗,111.6990355,41.53120578,区县,2020年3月4日正式退出
407,内蒙古,苏尼特右旗,112.6350692,42.7396343,区县,2019年4月19日正式退出
408,内蒙古,太仆寺旗,115.2773956,41.87431517,区县,2020年3月4日正式退出
409,内蒙古,突泉县,121.5882264,45.38008206,区县,2020年3月4日正式退出
410,内蒙古,翁牛特旗,118.9994454,42.93384585,区县,2020年3月4日正式退出
411,内蒙古,武川县,111.4439613,41.0946156,区县,2019年4月19日正式退出
412,内蒙古,兴和县,113.8272753,40.8721824,区县,2020年3月4日正式退出
413,内蒙古,扎赉特旗,122.8940063,46.72128452,区县,2019年4月19日正式退出
414,内蒙古,正镶白旗,115.0233012,42.28479403,区县,2020年3月4日正式退出
415,内蒙古,卓资县,112.5713777,40.89276552,区县,2020年3月4日正式退出
416,宁夏,海原县,105.6401246,36.56516661,区县,2020年3月5日正式退出
417,宁夏,泾源县,106.3266972,35.49839474,区县,2019年4月26日正式退出
418,宁夏,隆德县,106.1076445,35.62594006,区县,2019年4月26日正式退出
419,宁夏,彭阳县,106.6338285,35.8499723,区县,2019年4月26日正式退出
420,宁夏,同心县,105.9100332,36.98042604,区县,2020年3月5日正式退出
421,宁夏,西吉县,105.7249581,35.96401474,区县,2020年11月16日正式退出
422,宁夏,盐池县,107.4016996,37.78225244,区县,2018年9月29日正式退出
423,宁夏,原州区,106.283762,36.00356082,区县,2020年3月5日正式退出
424,青海,班玛县,100.7355668,32.93495166,区县,2020年4月21日正式退出
425,青海,称多县,97.10783572,33.36993764,区县,2019年5月15日正式退出
426,青海,达日县,99.65026515,33.75105922,区县,2020年4月21日正式退出
427,青海,大柴旦行委,118.7106065,31.99665987,商务大厦,2017年11月1日正式退出
428,青海,大通县,101.6841019,36.92683366,区县,2019年5月15日正式退出
429,青海,德令哈市,97.36011441,37.36903657,区县,2018年9月29日正式退出
430,青海,都兰县,98.0953736,36.30198576,区县,2017年11月1日正式退出
431,青海,甘德县,99.89979326,33.97115959,区县,2020年4月21日正式退出
432,青海,刚察县,100.1453896,37.32111229,区县,2018年9月29日正式退出
433,青海,格尔木市,94.92599174,36.40656671,区县,2018年9月29日正式退出
434,青海,共和县,100.056818,36.53220613,宾馆,2020年4月21日正式退出
435,青海,贵德县,101.4308654,36.04030675,区县,2020年4月21日正式退出
436,青海,贵南县,100.7454658,35.58714002,区县,2019年5月15日正式退出
437,青海,海晏县,100.9922767,36.89651715,区县,2019年5月15日正式退出
438,青海,河南蒙古族自治县,101.6143208,34.73571933,区县,2017年11月1日宣布退出
439,青海,互助土族自治县,101.95624,36.84423421,区县,2019年5月15日正式退出
440,青海,化隆县,102.2622104,36.0951384,区县,2020年4月21日正式退出
441,青海,湟源县,101.2541031,36.68253847,区县,2019年5月15日正式退出
442,青海,湟中县,101.5702399,36.50120112,区县,2019年5月15日正式退出
443,青海,尖扎县,102.029048,35.93849218,区县,2020年4月21日正式退出
444,青海,久治县,101.4801001,33.43066283,区县,2020年4月21日正式退出
445,青海,乐都区,102.3999789,36.48193926,区县,2020年4月21日正式退出
446,青海,冷湖行委,118.7106065,31.99665987,商务大厦,2017年11月1日正式退出
447,青海,玛多县,98.2088067,34.91608344,区县,2019年5月15日正式退出
448,青海,玛沁县,100.237657,34.47917448,区县,2020年4月21日正式退出
449,青海,茫崖行委,90.85558507,38.25000782,政府机构,2017年11月1日正式退出
450,青海,门源回族自治县,101.620208,37.37577466,区县,2019年5月15日正式退出
451,青海,民和县,102.8281742,36.31957506,区县,2020年4月21日正式退出
452,青海,囊谦县,96.48006154,32.20525329,区县,2020年4月21日正式退出
453,青海,平安区,102.1059326,36.50023833,区县,2018年9月29日正式退出
454,青海,祁连县,100.2515299,38.17686248,区县,2019年5月15日正式退出
455,青海,曲麻莱县,95.79636823,34.12814767,区县,2020年4月21日正式退出
